007 PRECIOUS METALS INC	00000#N/A
SENETEK PLC  -OLD	000800822
SENIOR HOUSING PPTYS TRUST	001525103
SENOMYX INC	001123979
SENORX INC	001097136
SENTEX SENSING TECHNOLOGY	001188037
SENTIGEN HOLDING CORP	000864890
SENTO CORP	000004317
SENVEST CAPITAL INC	001232845
SEPRACOR INC	001410682
SEPRAGEN CORP  -CL A	000794154
SEQUEL TECHNOLOGY CORP	001027852
SEQUENT COMPUTER SYSTEMS INC	001509550
SEQUESTER HOLDINGS INC	001439768
SEQUOIA SOFTWARE CORP	001028442
SEQUUS PHARMACEUTICALS INC	000812444
SERAGEN INC	000833299
SERANOVA INC	001104219
SERENA SOFTWARE INC	001073967
SERENPET INC	000907582
SERES THERAPEUTICS INC	001609809
SERICA ENERGY PLC	001386886
SERINUS ENERGY INC	001228338
SERITAGE GROWTH PROPERTIES	001592507
SEROLOGICALS CORP	000767673
SERVAM CORP	000820286
SERVICENOW INC	001168901
SERVICESOURCE INTL INC	001310114
SERVING SOFTWARE INC	001108693
SERVISFIRST BANCSHARES INC	001347831
SEVEN GENERATIONS ENERGY LTD	000931429
SEVEN J STOCK FARM INC	000089177
SEVEN SEAS PETROLEUM INC	000947156
SEVEN STARS CLOUD GROUP INC	001291429
SEVEN UP/RC BOTTLNG CO SO CA	000887353
SHAKE SHACK INC	001288122
SHAMAN PHARMACEUTICALS INC	000891933
SHAMARAN PETROLEUM CORP	001413946
SHANDA GAMES LTD  -ADR	001470157
SHANDA INTERACTIVE-ADR	001278308
SHANDONG HUANENG POWER DEV	001390009
SHANNON INTERNATIONAL INC	001081047
SHARED MEDICAL SYSTEMS CORP	000089415
SHARED TECHNOLOGIES CELLULAR	001427908
SHAREWELL CAPITAL GP  -OLD	001598631
SHARPSPRING INC	001053909
SHAW COMMUNICATIONS INC-CL B	000932872
SHAWMUT NATIONAL CORP	000823393
SHC CORP	001092481
SHEFFIELD PHARMACEUTICALS	001221903
SHELBOURNE PPTYS I INC	001574107
SHELBOURNE PPTYS II INC	001574107
SHELBOURNE PPTYS III INC	001574107
SHELL CANADA LTD  -CL A	000702983
SHELL OIL CO	000089629
SHELL TRANSPORT AND TRADING	000110537
SHENANDOAH TELECOMMUN CO	001178342
SHERIDAN ENERGY INC	001018355
SHERIDAN RESERVE INC	001130427
SHINECO INC	001378594
SHINHAN FINANCIAL GROUP LTD	001263043
SHININGBANK ENERGY INCOME FD	001458779
SHIRE ACQUISITION INC	001321360
SHIVA CORP	000879136
SHL SYSTEMHOUSE INC	000764371
SHOAL GAMES LTD	001325226
SHONEY'S INC	001220087
SHOPIFY INC	001267360
SHOPPING.COM LTD	001089525
SHORELINE FINANCIAL CORP	000822697
SHOTSPOTTER INC	001362853
SHOWCASE CORP	000889586
SHURGARD STORAGE CTRS  -CL A	000906933
SHUTTERSTOCK INC	001563301
SHUTTLE PHARMACTCLS INC-REDH	001390334
SI INTERNATIONAL INC	001143363
SIBONEY CORP	000090057
SICOR INC	000807873
SIDUS SYSTEMS INC	001026069
SIEBEL SYSTEMS INC	001006835
SIEMENS AG	000940418
SIENNA BIOPHARMACEUTICL	001521533
SIERRA HOME SERVICE COS INC	001059137
SIERRA ON-LINE INC	000724991
SIERRA ONCOLOGY	000724991
SIERRA REAL ESTATE TRUST 84	000733594
SIERRA SYSTEMS GROUP INC	001409240
SIERRA WIRELESS INC	001111863
SIERRAWEST BANCORP	000790555
SIFY TECHNOLOGIES LTD -ADR	001094324
SIGMA DESIGNS INC	000790715
SIGNAL FINANCE CORP	001574903
SIGNALSOFT CORP	001103354
SIGNET BANKING CORP	000009659
SILENSEED LTD  -REDH	001447330
SILICOM LTD	000916793
SILICON ENERGY CORP	001096916
SILICON GRAPHICS INC	000802301
SILICON IMAGE INC	001003214
SILICON LABORATORIES INC	001038074
SILICON STORAGE TECHNOLOGY	001395465
SILICON VALLEY GROUP INC	001037990
SILICON VALLEY RESEARCH INC	000708367
SILICONIX INC	000090283
SILKNET SOFTWARE INC	001079451
SILVER BAY REALTY TRUST CORP	001565438
SILVER EAGLE ACQUISITION CP	001575988
SILVERBOW RESOURCES INC	001158365
SILVERCREST ASSET MGT	001232395
SILVERSTAR HOLDINGS LTD	001003390
SILVERSTREAM SOFTWARE INC	001042282
SIMCOE ERIE INVESTORS LTD	001117134
SIMMONS FIRST NATL CP  -CL A	000090498
SIMON PROPERTY GROUP INC	000912564
SIMON WORLDWIDE INC	000864264
SIMPLAYER.COM LTD	001007993
SIMTEK CORP	000817516
SIMTROL INC	000846775
SIMULATION SCIENCES INC	001013795
SIMULATIONS PLUS INC	001023459
SIMWARE INC	000948944
SINA CORP	001094005
SINCERITY APP MTRL HLDG -OLD	001055907
SINCLAIR BROADCAST GP  -CL A	001591774
SINO MERCURY ACQUISITION CP	001608269
SINOFRESH HEALTHCARE INC	001207880
SINOPEC BEIJING YANHUA PETRO	001125786
SINOPEC SHANGHAI PETROCHEM	001452159
SIPEX CORP	001007800
SIRENZA MICRODEVICES INC	001103777
SIRICOMM INC	000851199
SIS CORP	001041644
SISCOM INC	001470203
SITARA NETWORKS INC	001091840
SITE TECHNOLOGIES INC	001003754
SITI-SITES.COM INC	000812551
SITO MOBILE LTD	001263885
SIXX HOLDINGS INC	000832407
SIYATA MOBILE INC	000832407
SIZELER PROPERTY INVESTORS	001095257
SIZMEK INC	001387815
SIZZLER RESTAURANTS INTL INC	000870760
SJNB FINANCIAL CORP	000721161
SKKYNET CLOUD SYSTEMS INC	001593553
SKOLNIKS INC	000821124
SKY FINANCIAL GROUP INC	000855876
SKY PLC	001183276
SKY-MOBI LTD  -ADR	001500252
SKYE INTERNATIONAL INC	001205919
SKYEPHARMA PLC	001018117
SKYLANDS FINANCIAL CORP	001083286
SKYLINE CHILI INC	000803497
SKYMALL INC	000862841
SKYSAT COMM NETWORK  -CL A	001457067
SKYSTAR BIO-PHARMACEUTICAL	001565327
SKYTEL COMMUNICATIONS INC	000842915
SKYTERRA COMMUNICATIONS INC	000756502
SKYWAY COMMUN HOLDINGS CORP	001209910
SKYWEST INC	000793733
SKYWORKS SOLUTIONS INC	000004127
SL GREEN REALTY CORP	001040971
SLADE'S FERRY BANCORP	001551911
SLATE OFFICE REIT	001365581
SLATE RETAIL REIT	001469231
SLATER STEEL INC	001519037
SLG REALISATIONS PLC	001529627
SLM CORP	001032033
SLMSOFT INC	001137327
SM ENERGY CO	000893538
SM&A CORP	001050031
SMALLWORLDWIDE PLC  -ADR	001025170
SMART GLOBAL HOLDINGS INC	001016653
SMART MODULAR TECHNOLOGIES	001214072
SMARTCENTRES REIT	001304807
SMARTDISK CORP	001058959
SMARTERKIDS.COM INC	001091893
SMARTFINANCIAL INC	001321602
SMC VENTURES INC	000934801
SMI USA INC	001142240
SMITH CHARLES E RES RLTY INC	001189416
SMITH MICRO SOFTWARE INC	000948708
SMITHKLINE BEECHAM (UK) PLC	001174473
SMITHTOWN BANCORP INC	000838854
SNAP APPLIANCES INC	001126308
SNAP INC	001558919
SNAP INTERACTIVE INC	001513760
SNAPPLE BEVERAGE CORP	000892563
SNRG CORP	001102944
SNYDER OIL CORP	000860713
SOAPSTONE NETWORKS INC	001562929
SOCIAL REALITY INC	001566858
SOCIETE GENERALE GROUP	001482820
SOCIETY FOR SAVINGS BANCORP	000091576
SOCKET MOBILE INC	000944075
SOCRATES TECHNOLOGIES CORP	000937603
SOFTBRANDS INC	001135837
SOFTDESK INC	000916397
SOFTECH INC	000354260
SOFTGUARD SYSTEMS INC	001445520
SOFTIMAGE INC	000888741
SOFTKEY SOFTWARE PRODUCTS	000719612
SOFTLOCK.COM INC	000870227
SOFTNET TECHNOLOGY CORP	000097196
SOFTQUAD SOFTWARE LTD	001081987
SOFTWARE ARTISTRY INC	000862928
SOFTWARE PUBLISHING CORP	000755659
SOFTWARE SERVICES OF AM INC	001445794
SOFTWARE TOOLWORKS INC	000798534
SOFTWARE.COM INC	000798534
SOFTWORKS INC	001062621
SOGOU INC	000792092
SOHU.COM INC	001104188
SOLAR GOLD LTD	001076505
SOLAR THIN FILMS INC	001411483
SOLAREDGE TECHNOLOGIES INC	001419612
SOLARWINDOW TECHNOLOGIES INC	001222420
SOLARWINDS INC	001222420
SOLENO THERAPEUTICS INC	001278319
SOLERA HOLDINGS INC	001545965
SOLID BIOSCIENCES INC -REDH	001170554
SOLIGENIX INC	001252627
SOLITARIO EXPLORATION & RLTY	001233374
SOLITRON DEVICES INC	000091668
SOLIUM CAPITAL INC	001562180
SOLOPOINT INC	001017545
SOLTA MEDICAL INC	001171298
SOLV EX CORP	000350305
SOMANETICS CORP	000704328
SOMATIX THERAPY CORP	001061606
SOMATOGEN INC	000818594
SOMERSET TRANSITION CORP	001515878
SOMERSET TRUST HOLDING CO	001108824
SOMNUS MED TECHNOLOGIES INC	001619823
SONAR RADIO CORP	001276439
SONDE RESOURCES CORP	001390260
SONEX RESEARCH INC	000091741
SONG NETWORKS HLDG AB	001092016
SONIC CORP	000868611
SONIC FOUNDRY INC	001029744
SONIC SOLUTIONS	001117909
SONICBLUE INC	000850519
SONICWALL INC	001093885
SONOMA VALLEY BANCORP	001120427
SONORAN ENERGY INC	001101661
SONOSITE INC	001055355
SONUS COMMUNICATION HOLDINGS	001309335
SONY CORP	000949858
SORICON CORP	001532755
SORRENTO NETWORKS CORP	000812491
SOUND ADVICE INC	000793971
SOUND ENERGY TRUST	001315881
SOURCE MEDIA INC	000900029
SOURCE VENTURE CAPITAL INC	001245911
SOURCEFIRE INC	001168195
SOUTH CAROLINA NATL CORP	000916018
SOUTH CENTRAL BELL TELEPHONE	001065285
SOUTH FINANCIAL GROUP INC	000797871
SOUTH TEXAS OIL CO	001288946
SOUTH WEST PPTY TR INC	001274554
SOUTHEAST BANKING CORP	001290493
SOUTHERN CALIFORNIA EDISON	001300759
SOUTHERN CO	001340184
SOUTHERN CONCEPTS RESTAURANT	001159427
SOUTHERN ELECTRIC GENERATING	001481383
SOUTHERN HOSPITALITY	001314218
SOUTHERN LEGACY MINERALS INC	001492333
SOUTHERN MINERAL CORP	000092223
SOUTHERN NEW ENG TELECOMM	001326247
SOUTHERN NEW ENG TELEPHONE	001326247
SOUTHERN PACIFIC RESOURCE CP	001384273
SOUTHERN SECURITY LIFE INS	001042521
SOUTHNET CORP	001252657
SOUTHSIDE BANCSHARES CORP	000703970
SOUTHTRUST CORP	000092081
SOUTHWARD ENERGY LTD	000813619
SOUTHWEST AIRLINES	001247844
SOUTHWEST BANCORP INC	000914374
SOUTHWEST NATIONAL CORP	000092440
SOUTHWESTERN BELL TELEPHONE	001481382
SOUTHWESTERN ELEC SERVICE	001089788
SOUTHWESTERN ELECTRIC PWR CO	000092487
SOUTHWESTERN LIFE HLDGS INC	000049588
SOUTHWESTERN PUBLIC SVC CO	000092521
SPACELABS MEDICAL INC	000886142
SPAGHETTI WAREHOUSE INC	000775298
SPANLINK COMMUNICATIONS INC	001010064
SPARK NETWORKS INC	001314475
SPARK NEW ZEALAND LTD	000875809
SPARK THERAPEUTICS INC	001427960
SPARTA FOODS INC	000838171
SPARTA PHARMACEUTICALS INC	000884019
SPARTA SURGICAL CORP	000819981
SPARTAN ENERGY CORP	001423881
SPARTAN MOTORS INC	000743238
SPATIALIGHT INC	000881468
SPATIALIZER AUDIO LABS INC	000890821
SPECIALTY CATALOG CORP	001020897
SPECTRA GROUP GREAT RESTS	000092751
SPECTRA SYSTEMS CORP-REDH	001168106
SPECTRA7 MICROSYSTEMS INC	001555497
SPECTRALINK CORP	000894268
SPECTRANETICS CORP	000789132
SPECTRASCIENCE INC	000727672
SPECTRAVISION INC	000819898
SPECTRIAN CORP	001344807
SPECTRUM SIGNAL PROCESSING	001058291
SPEED COMMERCE INC	001233230
SPEEDFAM-IPEC INC	000949301
SPEEDUS CORP	001002520
SPEEDWARE CORP INC	000943316
SPERO THERAPEUTICS INC-REDH	001197661
SPHERE 3D CORP	001591956
SPHERE DRAKE HOLDINGS LTD	000908520
SPHERIX INC  -OLD	000012239
SPHINX INTERNATIONAL INC	001294863
SPICE ENTERTAINMENT COS INC	000839431
SPIEGEL INC  -CL A	000276641
SPIEKER PROPERTIES INC	000911361
SPINDLE OIL & GAS	001521963
SPINDLETOP OIL & GAS CO	000867038
SPINNAKER EXPLORATION CO	001089697
SPINNAKER SOFTWARE CORP	001191633
SPIRE CORP	001362846
SPIRE ENERGY LTD	001406401
SPLASH TECHNOLOGY HLDGS INC	001587687
SPLITROCK SERVICES INC	001067822
SPLUNK INC	001353283
SPOK HOLDINGS INC	001441531
SPORT SUPPLY GROUP INC	000872855
SPORT SUPPLY GROUP INC-OLD	000872855
SPORTING LIFE INC	001165953
SPORTS-TECH INTERNATIONAL	001267558
SPORTSLINE.COM INC	000945688
SPORTSMANS GUIDE INC	000791450
SPR INC	001026493
SPRING BANK PHARMACEUTICALS	000825042
SPRINGLEAF FINANCE CORP	000025598
SPRINGLEAF HOLDINGS  -REDH	001589064
SPRINT CORP	000101830
SPRINT CORP-CONSOLIDATED	000101830
SPRINT FLORIDA INC	000037664
SPROTT RESOURCE HLDGS INC	001429344
SPS COMMERCE INC	001092699
SPSS INC	000869570
SPYGLASS INC	000945256
SQA INC	000944257
SRA INTERNATIONAL INC	000906192
SRX POST HOLDINGS INC	001314257
SS&C TECHNOLOGIES HLDGS INC	001505924
SSA GLOBAL TECHNOLOGIES	001369880
SSE TELECOM INC	000808220
SSI INVESTMENTS II LTD	001501919
SSLJ COM LIMITED -REDH	001468725
SSP SOLUTIONS INC	001078717
ST JUDE MEDICAL INC	000203077
ST LAWRENCE SEAWAY CORP-OLD	000086264
ST PAUL COS	000086312
STACEYS BUFFET INC	000831984
STACK-IT STORAGE INC -OLD	001499220
STAMPEDER EXPLORATION LTD	001044760
STAMPER OIL & GAS CORP	001536996
STAMPS.COM INC	001082923
STANDARD ENERGY CORP	000205921
STANDARD MANAGEMENT CORP	000853971
STANDARD METALS CORP	000093383
STANDARD MICROSYSTEMS CORP	000093384
STANDARD OIL & EXPL/DE	001568528
STANFORD TELECOMMUNICATIONS	000741374
STANLEY INC	001166513
STAODYN INC	000203285
STAR DATA SYSTEMS INC	001454432
STAR MOUNTAIN RESOURCES INC	001159716
STAR TECHNOLOGIES INC	000733871
STAR TELECOMMUNICATIONS INC	001026486
STARBASE CORP	000911577
STARBUCKS CORP	000887557
STARDRIVE SOLUTIONS INC	001088116
STARENT NETWORKS CORP	001125064
STARLIMS TECHNOLOGIES LTD	001396278
STARRETT CORP	001231150
START SCIENTIFIC INC	001477102
STARTEC GLOBAL COMMUNICTNS	001043310
STARTECH ENERGY INC	001065254
STARTEL CORP	001031029
STARTRONIX INTERNATIONAL INC	000761895
STARWOOD WAYPOINT HOMES	001173888
STARWOOD WAYPOINT RES TR	001173888
STARZ	001579471
STATE AUTO FINANCIAL CORP	000874977
STATE BANCORP/NY	001538933
STATE FINANCIAL SVCS CP-CL A	000745614
STATE NATIONAL COS INC	001610793
STATE OF THE ART INC	001587973
STATE STREET CORP	000093751
STATESMAN GROUP INC	001378608
STATESWEST AIRLINES	001554357
STATIONDIGITAL CORP	001449097
STATS CHIPPAC LTD	001097580
STB SYSTEMS INC	000934596
STC BROADCASTING INC	001037900
STEADYMED LTD	001459274
STEALTH MEDIALABS INC	001084551
STEALTH VENTURES INC	001544817
STEAMPUNK WIZARDS INC -OLD	001527115
STEC INC	001203185
STECK-VAUGHN PUBLISHING CP	000904081
STEEGO CORP	001518826
STEEL DYNAMICS INC	001022671
STEEL OF WEST VIRGINIA	001438785
STEEL VAULT CORP	001037417
STELAX INDUSTRIES LTD	000847541
STELCO INC	001136943
STELLENT INC	000867347
STEM CELL INNOVATIONS INC	001505497
STEMCELLS INC	000883975
STEREOTAXIS INC	001053270
STERILE CONCEPTS HOLDING INC	001009988
STERIS PLC	001054693
STERLING BANCORP/NY -OLD	001070154
STERLING BANCSHARES INC/TX	000891098
STERLING CAPITAL INV  -CL A	001116857
STERLING COMMERCE INC	001005291
STERLING FINANCIAL CORP	001095324
STERLING MEDICAL SYSTEMS INC	000723616
STERLING RESOURCES LTD	001412502
STERLING SOFTWARE INC	000716714
STERLING WEST BANCORP/CA	000702170
STEWART & STEVENSON SERVICES	001388668
STEWART (W P) & CO LTD	001316900
STEWART FOODS INC	000094369
STG GROUP INC	001170724
STHERN EDUCATORS LIFE INS CO	001262553
STIMSONITE CORP	000876400
STITCH FIX INC	001368276
STM WIRELESS INC	000765414
STMICROELECTRONICS NV	000932787
STN INC	001523028
STOCK YARDS BANCORP INC	001116112
STOCKHOLDER SYSTEMS	001408753
STOCKSCAPE.COM TECH INC	000832342
STOKELY VAN CAMP INC	000094567
STONE ENERGY CORP	000904080
STONECASTLE FINANCIAL CORP	001587566
STONEPOINT ENERGY INC	001492848
STORAGE COMPUTER CORP	000933452
STORAGE ENGINE INC	000900619
STORAGE PROPERTIES INC	000839477
STORAGE TECHNOLOGY CP	000094673
STORAGE TRUST REALTY	000928735
STORAGE USA INC	000912116
STORAGEAPPS INC	001110268
STORE CAPITAL CORP	001538990
STORER COMMUNICATIONS INC	000094679
STORM CAT ENERGY CORP	001313709
STORM ENERGY LTD	001313709
STORM TECHNOLOGY INC	001017546
STRAIGHT PATH COMMUNICATIONS	001498048
STRASBAUGH	001131877
STRATA OIL & GAS INC	001616885
STRATACOM INC	000791594
STRATASYS LTD	000915735
STRATEGEM CAPITAL CORP	001453720
STRATEGIA CORP	000797221
STRATEGIC ACQUISITIONS INC	001618389
STRATEGIC OIL & GAS LTD	001396323
STRATEX NETWORKS INC	000812703
STRATEX OIL & GAS HLDGS INC	000812703
STRATFORD AMERICAN CORP	000836435
STRATIC ENERGY CORP	001343162
STRATOS GLOBAL CORP	001178832
STRATOS INTERNATIONAL INC	001111721
STRATUS COMPUTER INC	000723610
STREAMLINE HEALTH SOLUTIONS	001408576
STREAMLINE.COM INC	001401899
STREAMLOGIC CORP	000718865
STRIKE ENERGY INC	001438945
STRUCTURAL DYNAMICS RESEARCH	001608438
STYLECLICK INC  -CL A	001109705
STYLECLICK.COM INC	001109705
STYLES ON VIDEO INC	000897074
SUBARU CORP	001428478
SUBAYE INC	001428478
SUBMICRON SYSTEMS CORP	000877210
SUBURBAN BANCSHARES INC/MD	000768177
SUBURBAN BNKSHRS/FL	000768177
SUCCESS HOLDING GROUP INTL	001572699
SUCCESSFACTORS INC	001157979
SUFFOLK BANCORP	000754673
SUGEN INC	000908121
SULCUS HOSPITALITY TECH CP	000726712
SUMITOMO BANK OF CALIFORNIA	000807865
SUMITOMO MITSUI FINANCIAL GR	001184915
SUMMA FOUR INC	000900095
SUMMA MEDICAL CORP	001130750
SUMMA RX LABORATORIES INC	000777517
SUMMIT AMERICA TELEVISON INC	000810029
SUMMIT BANCORP	001566218
SUMMIT BANCORPORATION	000200754
SUMMIT BANCSHARES INC/TX	000353203
SUMMIT BANK CORP/GA	000820067
SUMMIT FAMILY RESTAURNTS INC	000053281
SUMMIT FINANCIAL CORP	000856223
SUMMIT INDUSTRIAL INCM REIT	001441107
SUMMIT MIDSTREAM PARTNERS LP	001573622
SUMMIT PETROLEUM CORP	000353196
SUMMIT PROPERTIES INC	000915773
SUMMIT REAL ESTATE INVT TR	001268842
SUMMIT RESOURCES LTD	001393597
SUMMIT TECHNOLOGY INC	000813902
SUMTOTAL SYSTEMS INC	001269132
SUN BANCORP INC	001381503
SUN BIOPHARMA INC	001505409
SUN COAST INDS INC	001275129
SUN COMMUNITIES INC	000912593
SUN ENERGY PARTNERS  -LP	000938449
SUN LIFE FINANCIAL INC	001097362
SUN MICROSYSTEMS INC	000709519
SUN TV & APPLIANCES INC	001032169
SUNAMERICA INC	000054727
SUNCOKE ENERGY PARTNERS LP	001562837
SUNCOR ENERGY INC	000311337
SUNDANCE HOMES INC	000900616
SUNEDISON SEMICONDUCTOR LTD	001585854
SUNF INC	001562974
SUNGARD DATA SYSTEMS INC	000789388
SUNGLOBE FIBER SYSTEMS CORP	000350133
SUNGY MOBILE LTD  -ADR	001584133
SUNLITE INC	000312540
SUNOCO INC	000095304
SUNOCO LP	001170914
SUNOPTA INC	001159238
SUNPHARM CORP	001470915
SUNQUEST INFORMATION SYS INC	001508809
SUNRISE BANCORP/CA	000701709
SUNRISE ENERGY SERVICES INC	000874792
SUNRISE SOLAR CORP	001116198
SUNRISE TECHNOLOGY INTL INC	000846771
SUNSTONE HOTEL INVESTORS INC	000930600
SUNTRUST BANKS INC	000750556
SUNWEST BANK	001096840
SUPERCLICK INC	001104891
SUPERCOM LTD	001291855
SUPERIOR CONSULTANT HLDGS CP	001289943
SUPERIOR DRILLING PRODUCTS	001468498
SUPERMAC TECHNOLOGY INC	001127213
SUPERTEX INC	000730000
SUPPORT.COM INC	001026600
SUPRA MEDICAL CORP	001308744
SURE TRACE SECURITY CORP	000736314
SURETY CAPITAL CORP	001223176
SUREWEST COMMUNICATIONS	000943117
SURGE ENERGY INC	000747540
SURGE HOLDINGS INC	001053648
SURGICAL LASER TECH INC	001169655
SURMODICS INC	000924717
SUSQUEHANNA BANCSHARES INC	000700863
SUSTAINCO INC	001394993
SUTOR TECHNOLOGY GROUP LTD	001041177
SUTTON RESOURCES LTD	001278924
SVB FINANCIAL GROUP	000719739
SVC FINANCIAL SERVICES INC	001092753
SVT INC	000914271
SWEDBANK AB	000946431
SWISSCOM AG	001069336
SWITCH INC	001558588
SWITCHCO INC	001085223
SYBASE INC	000768262
SYBRA INC	000768262
SYCAMORE NETWORKS INC	001092367
SYGNIS AG	000879313
SYLOGIST LTD	001320452
SYLVAN INC	000861291
SYMANTEC CORP	000849399
SYMBIAT INC	000819479
SYMBILITY SOLUTIONS INC	001532595
SYMBOL TECHNOLOGIES	001011518
SYMBOLICS INC	000745664
SYMBOLLON PHARMA INC  -CL A	000912086
SYMETRA FINANCIAL CORP	001403385
SYMETRICS INDUSTRIES	001257446
SYMMETRICOM INC	000082628
SYMMETRY RESOURCES INC	001558355
SYMMETRY SURGICAL INC	001453983
SYMPHONY TELECOM CORP	000701304
SYMYX TECHNOLOGIES INC	001095330
SYNACOR INC	001210634
SYNAPTIC PHARMACEUTICAL CORP	000884939
SYNAPTICS INC	000817720
SYNAVANT INC	001116141
SYNCARDIA SYSTEMS INC  -REDH	001231864
SYNCHRONOSS TECHNOLOGIES	001372008
SYNCHRONY FINANCIAL	001601712
SYNCOR INTL CORP/DE	000202763
SYNCRONYS SOFTCORP	000798077
SYNDAX PHARMACEUTICALS INC	001395937
SYNERGEN INC	000730358
SYNERGY CHC CORP	001470257
SYNERGY RENEWABLE RESOURCES	001347613
SYNERON MEDICAL LTD	001129968
SYNIVERSE HOLDINGS INC	001169264
SYNOPSYS INC	000883241
SYNOPTICS COMMUNICATIONS INC	000816530
SYNOVICS PHARMACEUTICALS INC	001030839
SYNOVUS FINANCIAL CORP	000018349
SYNPLICITY INC	001027362
SYNPRO ENVIRONMENT SVCS	001027362
SYNTEL INC	001315655
SYNTELLECT INC	000758830
SYNTEX CORP	000096000
SYNTHEMED INC-OLD	001363312
SYNTRO CORP	001106159
SYNTROLEUM CORP	001029023
SYNVISTA THERAPEUTICS INC	001577469
SYQUEST TECHNOLOGY INC	000880865
SYROS PHARMACEUTICALS INC	001253102
SYS	000096057
SYSTECH RETAIL SYSTEMS INC	001261326
SYSTEM ENERGY RESOURCES INC	000202584
SYSTEM INDUSTRIES INC	000096035
SYSTEM SOFTWARE ASSOC INC	001281897
SYSTEMIX INC	001502699
SYSTEMS & COMPUTER TECH CORP	001165804
SYSTEMS CENTER INC	000705581
SYSTEMS OF EXCELLENCE	001367315
SYSTEMS TECHNOLOGY ASSOC INC	001258316
SYSTEMSOFT CORP	000889987
SYSTONETICS INC	001292576
SYTJES PANNEKOEKEN FAM REST	001534942
T-3 ENERGY SERVICES INC	000879884
T-MOBILE US INC	001578096
T-NETIX INC	001578111
T/R SYSTEMS INC	001095594
TABLEAU SOFTWARE INC	001303652
TABULA RASA HEALTHCARE INC	001323589
TACO CABANA  -CL A	001083806
TADIRAN LTD	001224413
TADIRAN TELECOMMUNICATNS LTD	001224413
TAG OIL LTD	000912785
TAKE-TWO INTERACTIVE SFTWR	000946581
TAKUNG ART CO LTD	001273297
TAL WIRELESS NETWORKS INC	000934924
TAL-CAP INC	001498299
TALARIAN CORP	000857914
TALBORNE CAPITAL CORP	001126032
TALCON  -LP	001382917
TALEND SA  -ADR	001190057
TALEO CORP	001134203
TALISMAN ENERGY INC	000201283
TALK AMERICA HOLDINGS INC	000948545
TALLEY INDUSTRIES INC	000096238
TAMINO MINERALS INC	001563886
TAMIR BIOTHECHNOLOGY INC	000708717
TANDEM COMPUTERS INC	001166466
TANDEM DIABETES CARE INC	001438133
TANGANYIKA OIL CO LTD	001542803
TANGER FACTORY OUTLET CTRS	000899715
TANGOE INC	001182325
TANGRAM ENTP SOLUTIONS	000804121
TANNING TECHNOLOGY CORP	001086384
TANOX INC	001099414
TAOMEE HOLDINGS LTD -ADR	001507051
TARANTELLA INC	000851560
TARENA INTL INC  -ADR	001592560
TARGET THERAPEUTICS INC	000882238
TARGITINTERACTIVE INC	001078629
TARO INDUSTRIES LTD	001177081
TARO PHARMACEUTICL INDS LTD	000906338
TARRAGON OIL & GAS	001047546
TASEKO MINES LTD	000878518
TATA COMMUNICATIONS LTD	001116134
TATUM PETROLEUM CORP	000766624
TAUBMAN CENTERS INC	000890319
TAUTACHROME INC	001293664
TAVA TECHNOLOGIES INC	000874263
TAYLOR MORRISON HOME CORP	001562476
TAYLOR NGL  -LP	001270721
TBC GLOBAL NEWS NETWORK-OLD	001543181
TBM NT CORP	001372901
TC PIPELINES LP	001075607
TCA CABLE TV INC	000700997
TCF FINANCIAL CORP	000814184
TCSI CORP	000875315
TD BANKNORTH INC	001082472
TDC A/S	001385533
TDH HOLDINGS INC- REDH	001208125
TDK MEDIACTIVE INC	000907237
TEARLAB CORP	001299139
TECHFORCE CORP	000920992
TECHIES.COM INC	001103740
TECHNICAL COMMUNICATIONS CP	000096699
TECHNICAL VENTURES INC	000788340
TECHNILAB PHARMA INC	001081246
TECHNISOURCE INC	001059920
TECHNOLOGY 80 INC	000735703
TECHNOLOGY MODELING ASSOC	001422819
TECHNOLOGY SOLUTIONS CO	001005274
TECHNOLOGY SVC GROUP INC	001326860
TECHTARGET INC	001293282
TECHTEAM GLOBAL INC	000805054
TECK RESOURCES LTD	000886986
TECNOMATIX TECHNOLOGIES LTD	000895457
TECSYS INC	001383512
TEDA TECHNOLOGIES INTL INC	001088212
TEE-COMM ELECTRONICS INC	001193403
TEECO PROPERTIES  -LP	001055812
TEGNA INC	001492971
TEJON RANCH CO	000096869
TEKELEC	000790705
TEKLOGIX INTERNATIONAL INC	001429429
TELADOC INC	001362953
TELARIA INC	001070718
TELCO COMMUNICATIONS GRP INC	001013159
TELCO RESEARCH CORP LTD	001268295
TELCO SYSTEMS INC	001268295
TELCOM SEMICONDUCTOR INC	000917415
TELCOPLUS ENTERPRISES INC	001029351
TELE-COMM TCI GROUP  -SER A	001429042
TELE-COMMUN INTL INC  -SER A	001429042
TELE-OPTICS INC	001429042
TELE2 AB	001122535
TELE2 NETHERLANDS HOLDING NV	001618865
TELEBIT CORP	000744550
TELEBRAS-TELECOM BRASILEIRAS	001251643
TELEBYTE INC	001251643
TELECALC INC	001433956
TELECHIPS CORP	000873979
TELECLONE INC	001492072
TELECOM ARGENTINA	001174217
TELECOM ITALIA SPA	000948642
TELECOMMUNICATION SYS INC	000725929
TELECOMUNICAC DE PUERTO RICO	001066642
TELECONFERENCING SYS INTL	001374362
TELEDATA COMMUNICATION LTD	001502416
TELEDIGITAL INC	001230109
TELEFLEX INC	000096943
TELEFONAKTIEBOLAGET LM ERICS	001061262
